,0
0,Rectal Neoplasms
1,Inflammation
2,Immune Thrombocytopenic Purpura
3,Biliary Tract Neoplasms
4,Acute Ischemic Stroke
5,Machado-Joseph Disease
6,Frailty
7,Angiomyolipoma
8,Lung Fibrosis
9,Moyamoya Disease
10,Mycobacterium tuberculosis Infection
11,"Leukemia, Lymphocytic, Chronic, B-Cell"
12,"Carcinoma, Gallbladder"
13,Epstein-Barr Virus Infection
14,Age-Related Macular Degeneration
15,Respiratory Syncytial Virus Pneumonia
16,"Leukemia-Lymphoma, Precursor B-Cell Lymphoblastic"
17,Idiopathic Pulmonary Fibrosis
18,"Cardiomyopathy, Hypertrophic"
19,"Child Development Disorders, Pervasive"
20,Endomyocardial Fibrosis
21,Gout
22,Periodontitis
23,Transitional Cell Carcinoma
24,Visceral Leishmaniasis
25,Early-Stage Non-Small-Cell Lung Carcinoma
26,Hyperactivity Disorder
27,Acute Megakaryoblastic Leukemia
28,Osteoporosis
29,Myocardial Infarction
30,Frontotemporal Dementia
31,Hirschsprung Disease
32,Chordoma
33,Asthma
34,Atrial Fibrillation
35,Urinary Bladder Cancer
36,Granulosa Cell Tumor
37,"Leukemia, B-Cell"
38,Schizophrenia
39,Hematologic Neoplasms
40,Ossification of Posterior Longitudinal Ligament
41,Peripheral Vascular Disease
42,Neuropathic Pain
43,Hyperglycemia
44,"Aortic Aneurysm, Abdominal"
45,Coronary Atherosclerosis
46,Peripheral Nerve Injury
47,Dementia
48,"Carcinoma, Lung"
49,Rheumatic Heart Diseases
50,Esophageal Neoplasms
51,Thyroid-Associated Ophthalmopathy
52,"Lymphoma, Large-Cell, Anaplastic"
53,Thyroid Neoplasms
54,Familial Mediterranean Fever
55,Aneurysm
56,Leprosy
57,Autoimmune Thyroiditis
58,Macroglobulinemia
59,"Carcinoma, Bladder"
60,Glioblastoma
61,"Leukemia, T-Cell"
62,Carotid Artery Diseases
63,"Lymphoma, Follicular"
64,Laryngeal Neoplasms
65,Biliary Atresia
66,Retinoblastoma
67,Lung Neoplasms
68,"Adenocarcinoma, Endometrial"
69,Pneumonia
70,Pancreatic Neoplasms
71,Uterine Leiomyoma
72,"Lymphoma, Burkitt"
73,Pulmonary Hypertension
74,Crohn Disease
75,Psoriatic Arthritis
76,Primary Aldosteronism
77,Lichen Planus
78,"Carcinoma, Head And Neck"
79,Migraine
80,"Carcinoma, Thyroid, Medullary"
81,Infertility
82,Myeloma
83,Carotid Atherosclerosis
84,Cataract
85,Pulmonary Sarcoidosis
86,Rhabdomyosarcoma
87,Arrhythmia
88,Cervical Neoplasms
89,Prion Diseases
90,Diabetic Vasculopathy
91,Irritable Bowel Syndrome
92,Amyotrophic Lateral Sclerosis
93,Germ Cell Tumor
94,Juvenile Rheumatoid Arthritis
95,Encephalomyelitis
96,Fibrosarcoma
97,Bladder Neoplasms
98,Autistic Disorder
99,Pancreatic Endocrine Carcinoma
